,caller,fn,fp,fraction_altered,git_revision_hash,max_memory,n_alterations,n_caller_alterations,n_reads,precision,recall,sample,total_run_time,tp
0,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,279781376.0,3,0,500,,0.0,C_SYNTHP53_10010_500_05_3_1-1-1,1.41,0
1,gatk,3,0,0.05,0e25b448c675326107adf09984a47a32718c5ff2,1209098240.0,3,0,800,,0.0,C_SYNTHP53_10078_800_05_3_1-1-1,135.25,0
2,gatk,0,0,0.1,0e25b448c675326107adf09984a47a32718c5ff2,1244205056.0,3,3,800,1.0,1.0,C_SYNTHP53_10078_800_10_3_1-1-1,121.07,3
3,gatk,0,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,1251790848.0,3,3,800,1.0,1.0,C_SYNTHP53_10078_800_50_3_1-1-1,366.82,3
4,gatk,0,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,1256345600.0,3,3,800,1.0,1.0,C_SYNTHP53_10078_800_80_3_1-1-1,361.03,3
5,gatk,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1197563904.0,3,3,800,1.0,1.0,C_SYNTHP53_10102_800_075_3_1-1-1,196.2,3
6,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,288620544.0,3,3,500,1.0,1.0,C_SYNTHP53_10192_500_10_3_1-1-1,1.62,3
7,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,285532160.0,3,0,500,,0.0,C_SYNTHP53_10194_500_05_3_1-1-1,2.89,0
8,gatk,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,721473536.0,3,3,800,1.0,1.0,C_SYNTHP53_10200_800_075_3_1-1-1,76.24,3
9,gatk,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,727494656.0,3,3,800,1.0,1.0,C_SYNTHP53_10218_800_075_3_1-1-1,157.34,3
10,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,292110336.0,3,0,500,,0.0,C_SYNTHP53_10241_500_05_3_1-1-1,1.73,0
11,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,286146560.0,3,3,500,1.0,1.0,C_SYNTHP53_102_500_10_3_1-1-1,1.47,3
12,gatk,1,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,729083904.0,3,2,800,1.0,0.666666666667,C_SYNTHP53_10428_800_075_3_1-1-1,80.56,2
13,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,287723520.0,3,3,500,1.0,1.0,C_SYNTHP53_10434_500_10_3_1-1-1,1.6,3
14,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,293421056.0,3,0,500,,0.0,C_SYNTHP53_10490_500_05_3_1-1-1,1.74,0
15,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,290791424.0,3,3,500,1.0,1.0,C_SYNTHP53_10496_500_10_3_1-1-1,1.49,3
16,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,289161216.0,3,0,500,,0.0,C_SYNTHP53_10518_500_05_3_1-1-1,1.66,0
17,gatk,2,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,290140160.0,3,1,500,1.0,0.333333333333,C_SYNTHP53_10597_500_05_3_1-1-1,1.68,1
18,gatk,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,875843584.0,3,3,800,1.0,1.0,C_SYNTHP53_10622_800_075_3_1-1-1,109.81,3
19,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,297639936.0,3,0,500,,0.0,C_SYNTHP53_10643_500_05_3_1-1-1,1.89,0
20,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,296820736.0,3,0,500,,0.0,C_SYNTHP53_10786_500_05_3_1-1-1,1.49,0
21,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,284237824.0,3,3,500,1.0,1.0,C_SYNTHP53_10845_500_10_3_1-1-1,1.49,3
22,gatk,0,1,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1120157696.0,3,4,800,0.75,1.0,C_SYNTHP53_10909_800_075_3_1-1-1,122.02,3
23,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,294952960.0,3,3,500,1.0,1.0,C_SYNTHP53_11085_500_10_3_1-1-1,1.77,3
24,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,300232704.0,3,3,500,1.0,1.0,C_SYNTHP53_11098_500_10_3_1-1-1,1.48,3
25,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,278683648.0,3,0,500,,0.0,C_SYNTHP53_11113_500_05_3_1-1-1,1.61,0
26,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,291700736.0,3,0,500,,0.0,C_SYNTHP53_11116_500_05_3_1-1-1,1.57,0
27,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,293310464.0,3,0,500,,0.0,C_SYNTHP53_11144_500_05_3_1-1-1,1.66,0
28,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,280911872.0,3,0,500,,0.0,C_SYNTHP53_11164_500_05_3_1-1-1,1.52,0
29,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,295559168.0,3,0,500,,0.0,C_SYNTHP53_11187_500_05_3_1-1-1,1.85,0
30,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,291168256.0,3,0,500,,0.0,C_SYNTHP53_11206_500_05_3_1-1-1,1.41,0
31,gatk,2,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,726200320.0,3,1,800,1.0,0.333333333333,C_SYNTHP53_11235_800_075_3_1-1-1,141.73,1
32,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,297070592.0,3,3,500,1.0,1.0,C_SYNTHP53_11257_500_10_3_1-1-1,1.88,3
33,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,293187584.0,3,3,500,1.0,1.0,C_SYNTHP53_11316_500_10_3_1-1-1,1.68,3
34,gatk,1,0,0.05,0e25b448c675326107adf09984a47a32718c5ff2,873955328.0,3,2,800,1.0,0.666666666667,C_SYNTHP53_1132_800_05_3_1-1-1,122.24,2
35,gatk,2,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,914391040.0,3,1,800,1.0,0.333333333333,C_SYNTHP53_1132_800_50_3_1-1-1,96.65,1
36,gatk,1,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,972632064.0,3,2,800,1.0,0.666666666667,C_SYNTHP53_1132_800_80_3_1-1-1,210.76,2
37,gatk,3,0,0.05,0e25b448c675326107adf09984a47a32718c5ff2,1065811968.0,3,0,800,,0.0,C_SYNTHP53_11392_800_05_3_1-1-1,197.9,0
38,gatk,0,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,1122320384.0,3,3,800,1.0,1.0,C_SYNTHP53_11392_800_50_3_1-1-1,197.1,3
39,gatk,0,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,1096679424.0,3,3,800,1.0,1.0,C_SYNTHP53_11392_800_80_3_1-1-1,195.9,3
40,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,290930688.0,3,0,500,,0.0,C_SYNTHP53_11449_500_05_3_1-1-1,1.67,0
41,gatk,3,0,0.05,0e25b448c675326107adf09984a47a32718c5ff2,1265627136.0,3,0,800,,0.0,C_SYNTHP53_11457_800_05_3_1-1-1,383.67,0
42,gatk,0,0,0.1,0e25b448c675326107adf09984a47a32718c5ff2,1245581312.0,3,3,800,1.0,1.0,C_SYNTHP53_11457_800_10_3_1-1-1,389.93,3
43,gatk,0,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,1253859328.0,3,3,800,1.0,1.0,C_SYNTHP53_11457_800_50_3_1-1-1,392.57,3
44,gatk,0,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,1252978688.0,3,3,800,1.0,1.0,C_SYNTHP53_11457_800_80_3_1-1-1,401.64,3
45,gatk,3,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,290897920.0,3,0,500,,0.0,C_SYNTHP53_11480_500_05_3_1-1-1,1.72,0
46,gatk,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1258459136.0,3,3,800,1.0,1.0,C_SYNTHP53_11522_800_075_3_1-1-1,148.56,3
47,gatk,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,287645696.0,3,3,500,1.0,1.0,C_SYNTHP53_11553_500_10_3_1-1-1,1.52,3
