,caller,fn,fp,fraction_altered,git_revision_hash,max_memory,n_alterations,n_caller_alterations,n_reads,precision,recall,sample,total_run_time,tp
0,micado,0,0,0.035,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102659584.0,1,1,1000,1.0,1.0,C_SYNTHP53_13643_1000_035_1_1-1-1,30.22,1
1,micado,1,0,0.035,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102577664.0,2,1,1000,1.0,0.5,C_SYNTHP53_13643_1000_035_2_1-1-1,31.03,1
2,micado,1,0,0.035,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102553088.0,3,2,1000,1.0,0.666666666667,C_SYNTHP53_13643_1000_035_3_1-1-1,30.98,2
3,micado,0,0,0.04,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102606336.0,1,1,1000,1.0,1.0,C_SYNTHP53_13643_1000_040_1_1-1-1,30.7,1
4,micado,0,0,0.04,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102581760.0,2,2,1000,1.0,1.0,C_SYNTHP53_13643_1000_040_2_1-1-1,30.88,2
5,micado,0,0,0.04,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102589952.0,3,3,1000,1.0,1.0,C_SYNTHP53_13643_1000_040_3_1-1-1,31.45,3
6,micado,0,0,0.045,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102573568.0,1,1,1000,1.0,1.0,C_SYNTHP53_13643_1000_045_1_1-1-1,30.06,1
7,micado,0,0,0.045,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102606336.0,2,2,1000,1.0,1.0,C_SYNTHP53_13643_1000_045_2_1-1-1,31.33,2
8,micado,0,0,0.045,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102548992.0,3,3,1000,1.0,1.0,C_SYNTHP53_13643_1000_045_3_1-1-1,31.83,3
9,micado,0,0,0.05,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102614528.0,1,1,1000,1.0,1.0,C_SYNTHP53_13643_1000_05_1_1-1-1,30.81,1
10,micado,0,0,0.05,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102569472.0,2,2,1000,1.0,1.0,C_SYNTHP53_13643_1000_05_2_1-1-1,30.57,2
11,micado,0,0,0.05,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102589952.0,3,3,1000,1.0,1.0,C_SYNTHP53_13643_1000_05_3_1-1-1,31.32,3
12,micado,0,0,0.1,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102585856.0,1,1,1000,1.0,1.0,C_SYNTHP53_13643_1000_10_1_1-1-1,30.58,1
13,micado,1,0,0.1,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102585856.0,2,1,1000,1.0,0.5,C_SYNTHP53_13643_1000_10_2_1-1-1,31.06,1
14,micado,2,0,0.1,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102508032.0,3,1,1000,1.0,0.333333333333,C_SYNTHP53_13643_1000_10_3_1-1-1,30.41,1
15,micado,0,0,0.5,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102536704.0,1,1,1000,1.0,1.0,C_SYNTHP53_13643_1000_50_1_1-1-1,30.1,1
16,micado,0,0,0.5,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102594048.0,2,2,1000,1.0,1.0,C_SYNTHP53_13643_1000_50_2_1-1-1,31.23,2
17,micado,2,0,0.5,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102598144.0,3,1,1000,1.0,0.333333333333,C_SYNTHP53_13643_1000_50_3_1-1-1,32.67,1
18,micado,1,0,0.035,9d18e226ff07dec0ea1b89c6965a4cca9edfae5c,1102585856.0,1,0,150,,0.0,C_SYNTHP53_13643_150_035_1_1-1-1,27.32,0
