,caller,fn,fp,fraction_altered,git_revision_hash,max_memory,n_alterations,n_caller_alterations,n_reads,precision,recall,sample,total_run_time,tp
0,varscan,0,2,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,279781376.0,3,5,500,0.6,1.0,C_SYNTHP53_10010_500_05_3_1-1-1,3.85,3
1,varscan,2,0,0.05,0e25b448c675326107adf09984a47a32718c5ff2,274018304.0,3,1,150,1.0,0.333333333333,C_SYNTHP53_10078_150_05_3_1-1-1,2.58,1
2,varscan,0,0,0.1,0e25b448c675326107adf09984a47a32718c5ff2,274591744.0,3,4,150,1.0,1.0,C_SYNTHP53_10078_150_10_3_1-1-1,2.73,4
3,varscan,0,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,286404608.0,3,3,150,1.0,1.0,C_SYNTHP53_10078_150_50_3_1-1-1,2.67,3
4,varscan,0,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,279457792.0,3,4,150,1.0,1.0,C_SYNTHP53_10078_150_80_3_1-1-1,2.5,4
5,varscan,0,0,0.05,0e25b448c675326107adf09984a47a32718c5ff2,300191744.0,3,4,800,1.0,1.0,C_SYNTHP53_10078_800_05_3_1-1-1,4.72,4
6,varscan,0,0,0.1,0e25b448c675326107adf09984a47a32718c5ff2,301699072.0,3,4,800,1.0,1.0,C_SYNTHP53_10078_800_10_3_1-1-1,4.86,4
7,varscan,0,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,302080000.0,3,5,800,1.0,1.0,C_SYNTHP53_10078_800_50_3_1-1-1,5.02,5
8,varscan,0,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,305709056.0,3,5,800,1.0,1.0,C_SYNTHP53_10078_800_80_3_1-1-1,5.0,5
9,varscan,0,1,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,179888128.0,3,4,150,0.75,1.0,C_SYNTHP53_10102_150_075_3_1-1-1,2.56,3
10,varscan,0,1,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,293834752.0,3,4,500,0.75,1.0,C_SYNTHP53_10102_500_075_3_1-1-1,3.64,3
11,varscan,0,1,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,300818432.0,3,4,800,0.75,1.0,C_SYNTHP53_10102_800_075_3_1-1-1,4.7,3
12,varscan,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,288620544.0,3,4,500,1.0,1.0,C_SYNTHP53_10192_500_10_3_1-1-1,4.46,4
13,varscan,1,1,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,285532160.0,3,3,500,0.666666666667,0.666666666667,C_SYNTHP53_10194_500_05_3_1-1-1,3.9,2
14,varscan,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,270303232.0,3,2,150,1.0,1.0,C_SYNTHP53_10200_150_075_3_1-1-1,2.56,2
15,varscan,0,1,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,292556800.0,3,4,500,0.75,1.0,C_SYNTHP53_10200_500_075_3_1-1-1,4.17,3
