,caller,fn,fp,fraction_altered,git_revision_hash,max_memory,n_alterations,n_caller_alterations,n_reads,precision,recall,sample,total_run_time,tp
0,micado,0,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,1082445824.0,3,3,500,1.0,1.0,C_SYNTHP53_10010_500_05_3_1-1-1,37.95,3
1,micado,0,1,0.05,0e25b448c675326107adf09984a47a32718c5ff2,1082445824.0,3,4,150,0.75,1.0,C_SYNTHP53_10078_150_05_3_1-1-1,34.56,3
2,micado,0,1,0.1,0e25b448c675326107adf09984a47a32718c5ff2,1082429440.0,3,4,150,0.75,1.0,C_SYNTHP53_10078_150_10_3_1-1-1,34.74,3
3,micado,0,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,1082433536.0,3,3,150,1.0,1.0,C_SYNTHP53_10078_150_50_3_1-1-1,38.04,3
4,micado,0,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,1082396672.0,3,3,150,1.0,1.0,C_SYNTHP53_10078_150_80_3_1-1-1,34.38,3
5,micado,0,0,0.05,0e25b448c675326107adf09984a47a32718c5ff2,1082507264.0,3,3,800,1.0,1.0,C_SYNTHP53_10078_800_05_3_1-1-1,37.97,3
6,micado,0,0,0.1,0e25b448c675326107adf09984a47a32718c5ff2,1082478592.0,3,3,800,1.0,1.0,C_SYNTHP53_10078_800_10_3_1-1-1,38.27,3
7,micado,0,0,0.5,0e25b448c675326107adf09984a47a32718c5ff2,1082449920.0,3,4,800,1.0,1.0,C_SYNTHP53_10078_800_50_3_1-1-1,38.01,4
8,micado,0,0,0.8,0e25b448c675326107adf09984a47a32718c5ff2,1082449920.0,3,5,800,1.0,1.0,C_SYNTHP53_10078_800_80_3_1-1-1,39.08,5
9,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082441728.0,3,3,150,1.0,1.0,C_SYNTHP53_10102_150_075_3_1-1-1,35.88,3
10,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082490880.0,3,3,500,1.0,1.0,C_SYNTHP53_10102_500_075_3_1-1-1,39.45,3
11,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082433536.0,3,3,800,1.0,1.0,C_SYNTHP53_10102_800_075_3_1-1-1,45.2,3
12,micado,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,1082392576.0,3,3,500,1.0,1.0,C_SYNTHP53_10192_500_10_3_1-1-1,36.11,3
13,micado,1,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,1082458112.0,3,2,500,1.0,0.666666666667,C_SYNTHP53_10194_500_05_3_1-1-1,35.72,2
14,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082396672.0,3,2,150,1.0,1.0,C_SYNTHP53_10200_150_075_3_1-1-1,35.92,2
15,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082474496.0,3,3,500,1.0,1.0,C_SYNTHP53_10200_500_075_3_1-1-1,38.49,3
16,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082404864.0,3,3,800,1.0,1.0,C_SYNTHP53_10200_800_075_3_1-1-1,45.05,3
17,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082441728.0,3,3,150,1.0,1.0,C_SYNTHP53_10218_150_075_3_1-1-1,35.49,3
18,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082466304.0,3,3,500,1.0,1.0,C_SYNTHP53_10218_500_075_3_1-1-1,39.23,3
19,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082462208.0,3,3,800,1.0,1.0,C_SYNTHP53_10218_800_075_3_1-1-1,46.61,3
20,micado,0,0,0.05,2970f6849d8037d18d0cc89f666126b4092eccbb,1082466304.0,3,3,500,1.0,1.0,C_SYNTHP53_10241_500_05_3_1-1-1,36.29,3
21,micado,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,1082429440.0,3,3,500,1.0,1.0,C_SYNTHP53_102_500_10_3_1-1-1,36.3,3
22,micado,1,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082466304.0,3,2,150,1.0,0.666666666667,C_SYNTHP53_10377_150_075_3_1-1-1,35.04,2
23,micado,0,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082437632.0,3,3,500,1.0,1.0,C_SYNTHP53_10377_500_075_3_1-1-1,41.46,3
24,micado,1,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082421248.0,3,2,800,1.0,0.666666666667,C_SYNTHP53_10377_800_075_3_1-1-1,41.92,2
25,micado,1,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082437632.0,3,2,150,1.0,0.666666666667,C_SYNTHP53_10428_150_075_3_1-1-1,35.14,2
26,micado,1,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082437632.0,3,2,500,1.0,0.666666666667,C_SYNTHP53_10428_500_075_3_1-1-1,38.63,2
27,micado,1,0,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082433536.0,3,2,800,1.0,0.666666666667,C_SYNTHP53_10428_800_075_3_1-1-1,40.11,2
28,micado,0,0,0.1,2970f6849d8037d18d0cc89f666126b4092eccbb,1082425344.0,3,3,500,1.0,1.0,C_SYNTHP53_10434_500_10_3_1-1-1,37.23,3
29,micado,1,2,0.075,1cbd23f34d6a0f877b27ea08b8922ae55586b124,1082429440.0,3,4,150,0.5,0.666666666667,C_SYNTHP53_10446_150_075_3_1-1-1,41.05,2
